키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
비치 운동화,10,5,5,높음,,,
비치 크로스백,15,5,10,높음,0.3,유지,0.3|0.7|0.3
장례식 스니커즈,10,5,5,낮음,,,
휴양지 샌들,110,20,90,높음,4.1,급하락,100|30.8|19.8|11.2|10.1|10.1|15.9|16.8|22.5|18.4|16.3|9.4|4.1
결혼 샴푸,10,5,5,낮음,,,
장례식 티셔츠,35,5,30,높음,11.8,하락,14.7|7.4|7.4|11.8
어버이날 시계,10,5,5,낮음,14.7,유지,11.8|14.7
60대 여성 샌들,170,20,150,높음,39.7,급하락,22.1|100|60.3|16.2|10.3|39.7
하객 런닝화,10,5,5,낮음,,,
비치 래쉬가드,15,5,10,높음,8.8,유지,10.3|8.8
면접 에코백,10,5,5,낮음,100,유지,100
요가 골프우산,10,5,5,낮음,,,
오피스 앞치마,10,5,5,낮음,,,
여자친구 캐리어,10,5,5,낮음,,,
면접 크로스백,10,5,5,낮음,,,
하객 레인부츠,10,5,5,낮음,,,
장례식 파우치,10,5,5,낮음,,,
스트릿 샌들,10,5,5,높음,,,
결혼 팔찌,50,10,40,높음,50,급하락,35|100|90|75|75|40|80|85|85|30|55|50
헬스 블라우스,10,5,5,낮음,,,
러닝 골프공,10,5,5,낮음,,,
결혼 치약,10,5,5,낮음,,,
휴양지 수영복,1800,250,1550,높음,8.7,급하락,57.9|72.8|100|63.1|32.6|25.5|15.8|17.3|22.3|13.3|12.5|10.1|8.7
러닝 장화,10,5,5,중간,0.0,유지,0.0
오피스 바람막이,10,5,5,낮음,,,
장례식 보스턴백,10,5,5,낮음,,,
공항 슬리퍼,75,5,70,높음,27.4,급하락,100|72.6|85.8|53.8|72.6|49.1|37.7|18.9|14.2|4.7|22.6|27.4
헬스 레인부츠,10,5,5,낮음,,,
러닝 구명조끼,10,5,5,높음,,,
러닝 스니커즈,15,5,10,높음,,,
장례식 토트백,10,5,5,낮음,,,
50대 엄마 샌들,15,5,10,낮음,0.1,유지,0.1
러닝 티셔츠,5760,1160,4600,높음,64.3,급하락,51.3|80.2|91.1|100|94.8|52.3|19.7|12.8|13.8|24.0|49.3|61.6|64.3
하객 앞치마,10,5,5,낮음,,,
요가 웨지힐,10,5,5,낮음,,,
