키워드,검색량,네이버검색량,추이,난이도,섹션,패션,LF몰,W컨셉,한섬,SSF샵,SI빌리지,Status,순위,우선순위
아쿠아슈즈,0,74500,급하락,,신발,Y,0,0,0,0,0,미수집,6,6순위
방한화,1300,630,급상승,,신발,Y,0,0,0,0,0,미수집,37,37순위
패딩부츠,0,250,유지,,신발,Y,0,0,0,0,0,미수집,38,38순위
기타스포츠화,0,10,,,스포츠,N,0,0,0,0,0,미수집,0,
캔버스화,0,2150,유지,,신발,Y,0,0,0,0,0,미수집,31,31순위
런닝화,12100,54180,급하락,,신발,Y,0,0,0,0,0,미수집,8,8순위
워킹화,1600,10860,급상승,,신발,Y,0,0,0,0,0,미수집,20,20순위
아동운동화,0,1020,급상승,,유아동,N,0,0,0,0,0,미수집,0,
아동슬리퍼,0,740,급하락,,유아동,N,0,0,0,0,0,미수집,0,
아동샌들,0,2670,급하락,,유아동,N,0,0,0,0,0,미수집,0,
아동방한화,0,10,급하락,,유아동,N,0,0,0,0,0,미수집,0,
아동패딩부츠,0,10,급상승,,유아동,N,0,0,0,0,0,미수집,0,
농구화,4400,12250,하락,,스포츠,N,0,0,0,0,0,미수집,0,
축구화,14800,39550,급하락,,스포츠,N,0,0,0,0,0,미수집,0,
야구화,880,5600,유지,,스포츠,N,0,0,0,0,0,미수집,0,
테니스화,0,17320,하락,,스포츠,N,0,0,0,0,0,미수집,0,
긴팔티셔츠,1300,700,하락,,의류,Y,0,0,0,0,0,미수집,100,100순위
반팔티셔츠,4400,14630,급하락,,의류,Y,0,0,0,0,0,미수집,27,27순위
민소매티셔츠,590,7790,급상승,,의류,Y,0,0,0,0,0,미수집,48,48순위
롱팬츠,0,70,급하락,,의류,Y,0,0,0,0,0,미수집,127,127순위
하프팬츠,0,540,급하락,,의류,Y,0,0,0,0,0,미수집,108,108순위
스커트,4400,13530,급하락,,의류,Y,0,0,0,0,0,미수집,31,31순위
우비,3600,22500,급하락,,의류,Y,0,0,0,0,0,미수집,20,20순위
레인웨어,0,180,급하락,,의류,Y,0,0,0,0,0,미수집,119,119순위
원피스,90500,154900,급하락,,의류,Y,0,0,0,0,0,미수집,4,4순위
언더레이어,0,790,급하락,,의류,Y,0,0,0,0,0,미수집,98,98순위
기능성의류,0,400,하락,,의류,Y,0,0,0,0,0,미수집,112,112순위
토트,1600,1680,급하락,33,가방,Y,1,0,0,0,0,Strong,25,25순위
보스턴백,5400,26970,급하락,,가방,Y,0,0,0,0,0,미수집,9,9순위
캐디백,0,7390,급하락,,골프,Y,0,0,0,0,0,미수집,15,15순위
스탠드백,0,890,급하락,,골프,Y,0,0,0,0,0,미수집,25,25순위
하프백,260,1610,급하락,,가방,Y,0,0,0,0,0,미수집,24,24순위
골프백세트,0,280,하락,,골프,Y,0,0,0,0,0,미수집,30,30순위
골프화가방,0,1150,하락,,골프,Y,0,0,0,0,0,미수집,24,24순위
골프마스크,0,25960,급하락,,골프,Y,0,0,0,0,0,미수집,4,4순위
쿨토시,0,43900,급하락,,액세서리,Y,0,0,0,0,0,미수집,9,9순위
토시,2400,7730,급하락,,액세서리,Y,0,0,0,0,0,미수집,27,27순위
자외선차단,590,3200,급하락,,골프,Y,0,0,0,0,0,미수집,20,20순위
냉감용품,0,120,급하락,,골프,Y,0,0,0,0,0,미수집,31,31순위
골프선글라스,0,10600,유지,,골프,Y,0,0,0,0,0,미수집,11,11순위
골프우산,0,10070,급하락,,골프,Y,0,0,0,0,0,미수집,12,12순위
볼파우치,0,1630,급하락,,골프,Y,0,0,0,0,0,미수집,21,21순위
헤드커버,0,420,급하락,,골프,Y,0,0,0,0,0,미수집,27,27순위
항공커버,0,1350,급하락,,골프,Y,0,0,0,0,0,미수집,22,22순위
기타 액세서리,20,35,급하락,,액세서리,Y,0,0,0,0,0,미수집,45,45순위
방한용품,0,300,급하락,,골프,Y,0,0,0,0,0,미수집,28,28순위
드라이버,6600,17200,급하락,,골프,Y,0,0,0,0,0,미수집,8,8순위
페어웨이우드,0,1170,급하락,,골프,Y,0,0,0,0,0,미수집,23,23순위
유틸리티우드,0,300,급하락,,골프,Y,0,0,0,0,0,미수집,29,29순위
아이언,12100,23330,급상승,,골프,Y,0,0,0,0,0,미수집,6,6순위
웨지,880,5740,급하락,,골프,Y,0,0,0,0,0,미수집,18,18순위
퍼터,8100,12530,급하락,,골프,Y,0,0,0,0,0,미수집,9,9순위
골프클럽풀세트,0,30,급하락,,골프,Y,0,0,0,0,0,미수집,34,34순위
시타클럽,0,40,급하락,,골프,Y,0,0,0,0,0,미수집,33,33순위
남성골프화,0,20740,상승,,골프,Y,0,0,0,0,0,미수집,7,7순위
여성골프화,170,12210,하락,,골프,Y,0,0,0,0,0,미수집,10,10순위
스파이크,3600,3230,하락,,골프,Y,0,0,0,0,0,미수집,19,19순위
렌치,5400,7610,하락,,골프,Y,0,0,0,0,0,미수집,14,14순위
골프공,0,32590,급하락,,골프,Y,0,0,0,0,0,미수집,1,1순위
로스트볼,720,27690,급하락,,골프,Y,0,0,0,0,0,미수집,2,2순위
필드용품,0,70,급하락,,골프,Y,0,0,0,0,0,미수집,32,32순위
연습용품,0,10,유지,,골프,Y,0,0,0,0,0,미수집,35,35순위
거리측정기,0,26850,급하락,,골프,Y,0,0,0,0,0,미수집,3,3순위
거리측정기 케이스,0,6700,급하락,,골프,Y,0,0,0,0,0,미수집,16,16순위
파크골프클럽,0,550,급상승,,골프,Y,0,0,0,0,0,미수집,26,26순위
파크골프용품,0,6570,유지,,골프,Y,0,0,0,0,0,미수집,17,17순위
긴바지,0,590,급하락,,의류,Y,0,0,0,0,0,미수집,103,103순위
반바지,8100,43210,급하락,16,의류,Y,0,0,0,24,0,Missing,2,2순위
트레이닝복,0,4070,상승,,스포츠,N,0,0,0,0,0,미수집,0,
컴프레션,1000,2490,유지,,스포츠,N,0,0,0,0,0,미수집,0,
기능성웨어,0,70,하락,,스포츠,N,0,0,0,0,0,미수집,0,
후디,2400,1650,급하락,,스포츠,N,0,0,0,0,0,미수집,0,
수영복,18100,88700,급하락,,수영/비치,Y,0,0,0,0,0,미수집,1,1순위
자전거의류,0,4950,하락,,스포츠,N,0,0,0,0,0,미수집,0,
트레이닝복세트,0,4320,급상승,,스포츠,N,0,0,0,0,0,미수집,0,
바지,40500,22040,급상승,19,의류,Y,0,0,0,14,0,Missing,6,6순위
후드티,14800,5430,급상승,,의류,Y,0,0,0,0,0,미수집,54,54순위
짚업,110,290,급상승,,스포츠,N,0,0,0,0,0,미수집,0,
유아동스키보드웨어,0,10,,,스포츠,N,0,0,0,0,0,미수집,0,
가방,33100,72100,하락,35,가방,Y,0,5,0,0,0,Missing,3,3순위
힙색,4400,18720,급하락,,가방,Y,0,0,0,0,0,미수집,13,13순위
